Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
817,4.3.40,Christe Robert,Christe,Robert,1924-03-22,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Porrentruy', 'Studium in Basel', 'Staatsexamen Basel', 'Dr. med. Basel', 'Stellv. Direktor Psychiatrische Klinik Bellelay', 'Direktor Service medicopsychologique du Jura', 'Lektor Psychopathologie', 'Leiter der Ausbildung klinischer Logopäden', 'HonP Psychopathologie', '-']","['1949-01-01', '1953-01-01', '1955-01-01', '1960-01-01', '1971-01-01', '1974-01-01', '1979-01-01']",['1978-01-01'],[]
818,4.3.41,Bürgi Willy,Bürgi,Willy,1929-07-02,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule Aarau', 'Studium in Bern', 'Zürich', 'Staatsexamen Zürich', 'Dr. med. Zürich', 'Schüler von Hugo Aebi ( Bern )', 'Research Fellow HMS Boston / USA', 'Chefarzt Aarau', 'PD Biochemie und klinische Chemie', 'HonP', '-']","['1955-01-01', '1962-01-01', '1974-01-01', '1980-01-01']",[],[]
819,4.3.42,Buri Peter Gottlieb,Buri,Peter Gottlieb,1929-12-05,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Biel', 'Studium in Bern und Wien', 'Dr. med. Bern', 'Assistent', 'Oberarzt Bern', 'PD Chirurgie', 'HonP', '-']","['1956-01-01', '1972-01-01', '1980-01-01']",[],[]
820,4.3.43,Geiser Max,Geiser,Max,1926-11-17,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern', 'Wien', 'Paris', 'Dr. med. Bern', 'PD Orthopädie und Traumatologie', 'HonP', '-']","['1952-01-01', '1962-01-01', '1980-01-01']",[],[]
821,4.3.44,Laissue Jean,Laissue,Jean,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Oberarzt Bern', 'PD Allgemeine und spezielle Pathologie', 'HonP', '-']","['1971-01-01', '1980-01-01']",[],[]
822,4.3.45,Teuscher Arthur,Teuscher,Arthur,1926-08-09,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Paris', 'Staatsexamen Bern', 'Dr. med. Bern', 'Schüler von E. Joslin ( Boston / Mass. USA )', 'Spezialarzt in Bern', 'PD Innere Medizin speziell Diabetes', 'HonP', '-']","['1951-01-01', '1952-01-01', '1972-01-01', '1980-01-01']",[],[]
823,4.3.46,Voegeli Erich,Voegeli,Erich,1934-01-01,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Oberarzt Luzern', 'PD Medizinische Radiologie', 'HonP', '-']","['1973-01-01', '1980-01-01']",[],[]
824,4.3.47,Burger Mikulas,Burger,Mikulas,,,['Universität'],['medizinisch'],"['austritt_unibe', 'lehrtaetigkeit_unibe']","['HonP Experimentelle Immunpathologie', '-']",['1981-01-01'],[],[]
825,4.3.48,Demisch Arthur,Demisch,Arthur,1926-02-09,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Zürich', 'Dr. med. dent. Zürich', 'Oberassistent Bern', 'Lektor Kieferorthopädie', 'HonP', '-']","['1953-01-01', '1972-01-01', '1981-01-01']",[],[]
826,4.3.49,Tscholl Reto,Tscholl,Reto,1937-06-03,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Zürich', 'Studium in Genf Zürich und Paris', 'Staatsexamen Zürich', 'Dr. med. Zürich', 'Assistenzarzt Zürich', 'Oberarzt Bern', 'PD Urologie', 'HonP', '-']","['1963-01-01', '1967-01-01', '1974-01-01', '1981-01-01']",[],[]
827,4.3.50,Tüller Niklaus,Tüller,Niklaus,1938-03-23,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung']","['Gymnasium in Bern', 'Studium in Bern', 'Dr. pharm.', 'Lektor Reaktionsmechanismen der organischpräparativen pharmazeutischen Chemie', 'HonP Allgemeine pharmazeutische Chemie', '-']","['1968-01-01', '1969-01-01', '1981-01-01']",[],[]
829,4.4.7,Urich Otto,Urich,Otto,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'PD Geburtshilfe']","['1835-01-01', '1839-01-01']",[],[]
830,4.4.8,Emmert Wilhelm,Emmert,Wilhelm,1810-01-01,1880-01-01,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Arzt Inselspital', 'PD Chirurgische Verbandlehre', 'Tod']","['1835-01-01', '1836-01-01', '1880-01-01']",[],"['Sohn von oP ( Akademie ) Ludwig Carl Friedrich Emmert ( 5. 1. 1 ), Bruder von oP Karl Emmert ( 4. 1. 20 )']"
831,4.4.9,Webber G. F.,Webber,G. F.,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Paris Dr. med.', 'PD Medizin', 'ca.']","['1836-01-01', '1840-01-01']",[],[]
833,4.4.11,Ofterdinger A.,Ofterdinger,A.,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Pisa und Berlin', 'Reisebegleiter einer reichen Familie als medizinischer Betreuer', 'PD Heilkunde', 'wahrscheinlich nie Vorlesungen gehalten']",['1842-01-01'],[],[]
835,4.4.13,Müller Christian,Müller,Christian,1816-04-23,1881-06-16,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Apothekerlehre in Gelnhausen bei Hanau', 'Studium in Giessen', 'Schüler von J. Liebig ( Giessen )', 'Apothekerexamen Bern', 'Apotheker in Bern', 'PD Pharmazie und Toxikologie', 'Wahl in den Gemeinderat Bern']","['1841-01-01', '1854-01-01', '1863-01-01']",[],[]
837,4.4.15,von Erlach Karl,von Erlach,Karl,1821-06-26,1886-12-01,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Bern', 'Studium in Bern', 'postgraduate in Berlin', 'Dr. med. Bern', 'Schüler von G. G. Valentin', 'Arzt im äusseren Krankenhaus', 'PD Haut-und Geschlechtskrankheiten', 'Arzt und Vorsteher des äusseren Krankenhauses', 'Arzt in Bern']","['1846-01-01', '1853-01-01', '1855-01-01', '1856-01-01', '1877-01-01']",[],[]
839,4.4.17,Demme Karl Hermann,Demme,Karl Hermann,1831-01-01,1864-11-29,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern Dr. med. Bern', 'PD Anatomie und praktische Chirurgie']","['1860-01-01', '1864-01-01']",[],"['Sohn von oP Hermann Askan Demme ( 4. 1. 11 ), Bruder von oP Rudolf Demme ( 4. 1. 41 )']"
840,4.4.18,Reich Eduard Maria Anton Johann,Reich,Eduard Maria Anton Johann,1836-03-06,1919-02-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium in Olmütz Brünn und Jena', 'Dr. med. Jena', 'PD Hygiene', 'wurde wegen revolutionärer Umtriebe gegen Österreich-Ungarn in ein Hochverratsverfahren verwickelt und musste Bern verlassen', 'Lebte als freier Schriftsteller und Forscher in Deutschland Holland und Belgien']","['1857-01-01', '1860-01-01', '1861-01-01']",[],[]
843,4.4.21,Wyttenbach Albert,Wyttenbach,Albert,1833-01-01,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern Paris und Wien', 'Dr. med. Bern ( sehr wahrscheinlich )', 'Praktischer Arzt in Bern', 'PD Augenheilkunde']","['1857-01-01', '1861-01-01', '1867-01-01']",[],[]
844,4.4.22,Ziegler Franz Adolf,Ziegler,Franz Adolf,1833-01-17,1899-05-17,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Dr. med. ( sehr wahrscheinlich Bern )', 'Arzt in Bern', 'PD Allgemeine Pathologie', 'Ernennung zum Oberfeldarzt', 'Oberfeldarzt']","['1857-01-01', '1863-01-01', '1876-01-01']",[],[]
845,4.4.23,Bodenheimer Karl,Bodenheimer,Karl,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', 'PD Klinische Propädeutik', 'Arzt in Puntrut', 'Arzt Pruntut']","['1865-01-01', '1869-01-01']",[],[]
846,4.4.24,Dardel Gustav,Dardel,Gustav,,1907-01-01,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', 'Assistent Bern', 'PD Chirurgie']","['1865-01-01', '1867-01-01']",[],[]
847,4.4.25,Du Plessis ( Duplessis ) Georges,Du Plessis ( Duplessis ),Georges,1838-01-01,1913-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Dr. med.', 'Arzt in Orbe', 'PD Medizin', 'Professor Akademie Lausanne']","['1865-01-01', '1870-01-01']",['1885-01-01'],[]
848,4.4.26,Dutoit Eugene,Dutoit,Eugene,1837-07-25,1921-01-04,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'ausbildung', 'lehrtaetigkeit_unibe']","['Schulen Bern', 'Dr. med. Bern', 'Arzt in Bern']","['1917-01-01', '1864-01-01']",[],[]
849,4.4.27,Christeller Alfred,Christeller,Alfred,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', 'Arzt in Bern', 'PD Ohrenheilkunde']","['1867-01-01', '1879-01-01']",[],[]
850,4.4.28,Fehr Adolf,Fehr,Adolf,1842-11-15,1894-01-19,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Dr. med. Bern', 'Staatsexamen St. Gallen', 'Assistent med. Klinik Inselspital', 'PD Medizin 8', 'Arzt in St. Gallen', 'Regierungsrat St. Gallen']","['1864-01-01', '1867-01-01', '1868-01-01']",[],['Vater von oP H. Adolf Fehr ( 3. 1. 49 )']
851,4.4.29,Kottmann August,Kottmann,August,1846-03-04,1904-07-04,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', '1. Assistent an der med. Klinik Bern', 'PD Innere Medizin', 'Chefarzt Bürgerspital Solothurn']","['1869-01-01', '1872-01-01']",[],[]
852,4.4.30,Niehans (wahrscheinlich Emanuel),Niehans,(wahrscheinlich Emanuel),,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Assistent Bern', 'PD Arzneimittellehre Syphilis und Hautkrankheiten']","['1866-01-01', '1869-01-01', '1871-01-01']",[],[]
853,4.4.31,Conrad Friedrich,Conrad,Friedrich,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', 'Assistent Bern', 'PD Geburtshilfe und Frauenkrankheiten', 'Ruhestand']","['1874-01-01', '1916-01-01']",[],[]
854,4.4.32,Weber Hans,Weber,Hans,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Dr. med. Bern', 'Assistenzarzt Bern', 'PD Dermatologie und Syphilis']","['1869-01-01', '1875-01-01', '1881-01-01']",[],[]
855,4.4.33,Burckhardt Gottlieb,Burckhardt,Gottlieb,1836-12-24,1907-02-06,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Dr. med. Basel', 'PD Basel Sekundärarzt Waldau', 'PD Psychiatrie und Nervenkrankheiten', 'Direktor der Anstalt Prefargier NE', 'Direktor Anstalt Prefargier']","['1860-01-01', '1862-01-01', '1876-01-01', '1882-01-01']",[],[]
856,4.4.34,Hartmann Oscar,Hartmann,Oscar,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Dr. med. Bern', 'PD Chirurgie']","['1875-01-01', '1876-01-01', '1877-01-01']",[],[]
857,4.4.35,Albrecht Hermann,Albrecht,Hermann,1847-07-24,1899-03-05,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Zürich Tübingen Heidelberg Bern Wien Prag Paris', 'Dr. med.', 'Arzt in Neuenburg', 'PD Kinderkrankheiten', 'bes. chirurgischer Teil']","['1876-01-01', '1877-01-01', '1893-01-01']",[],[]
858,4.4.36,Burtscher Hugo,Burtscher,Hugo,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'PD Chirurgie']","['1877-01-01', '1880-01-01']",[],[]
859,4.4.37,Dick Rudolf,Dick,Rudolf,1851-01-01,1913-05-08,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Arzt in Bern', 'PD Geburtshilfe und Gynäkologie', 'Tod']","['1879-01-01', '1913-01-01']",[],[]
860,4.4.38,Loewe ( Löwe ) Ludwig,Loewe ( Löwe ),Ludwig,1844-03-11,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Berlin', 'Studium in Jena Breslau Würzburg Strassburg', 'Dr. med. Strassburg', 'Arzt in Berlin', 'PD Anatomie']","['1879-01-01', '1880-01-01']",[],[]
861,4.4.39,von Ins Adolf,von Ins,Adolf,1849-01-01,1926-01-31,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule Solothurn', 'Studium in Bern Staatsexamen Bern', 'Dr. med. Bern', 'Vorsteher des äusseren Krankenhauses Bern', 'PD Dermatologie und Syphilis', 'Tod']","['1880-01-01', '1926-01-01']",[],[]
862,4.4.40,Bircher Heinrich,Bircher,Heinrich,1850-04-06,1923-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium in Bern Heidelberg', 'Dr. med. Bern', 'Spitalarzt Aarau', 'PD Chirurgie', 'Chefarzt Aarau']","['1881-01-01', '1891-01-01']",[],[]
864,4.4.42,Jonquiere Georg,Jonquiere,Georg,1851-06-19,1926-12-18,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern und Pisa', 'Staatsexamen Bern', 'Dr. med. Bern', 'Assistent Bern', 'PD Otorhinolaryngologie', 'Tod']","['1883-01-01', '1926-01-01']",[],['Sohn von oP Daniel Jonquiere ( 4. 1. 22 )']
865,4.4.43,Bueler Severin Alois Friedrich,Bueler,Severin Alois Friedrich,1859-02-21,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med. Bern', 'Praktischer Arzt', 'PD Chirurgie', 'Ruhestand']","['1886-01-01', '1931-01-01']",[],[]
866,4.4.44,De Giacomi Joachim,De Giacomi,Joachim,1858-02-17,1921-11-14,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Schwyz und Bern', 'Studium in Bern Dr. med. Bern', 'Assistent Bern', 'PD Innere Medizin', 'Tod']","['1886-01-01', '1921-01-01']",[],[]
867,4.4.45,Brühl Ludwig Jakob,Brühl,Ludwig Jakob,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Staatsexamen', 'Dr. med. Dorpat', 'Assistenzarzt kant. Entbindungs-und Frauenkrankenanstalt Bern', 'PD Geburtshilfe und Gynäkologie']","['1884-01-01', '1885-01-01', '1887-01-01', '1889-01-01']",[],[]
868,4.4.46,Zumstein Jakob,Zumstein,Jakob,1861-03-22,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Staatsexamen Bern', 'Dr. med. Bern', 'Assistent Bern', 'PD Anatomie', '1. Assistent Marburg', 'PD Marburg', 'Titularprofessor Marburg']","['1885-01-01', '1887-01-01', '1891-01-01', '1897-01-01']",[],[]
869,4.4.47,Collon Joseph,Collon,Joseph,1859-11-27,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Pruntut Studium in Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Arzt in Bern', 'PD Chirurgie', 'Tod']","['1882-01-01', '1888-01-01', '1917-01-01']",[],[]
870,4.4.48,Bannwarth Emil,Bannwarth,Emil,1862-10-10,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'Assistent und Prosektor Anatomisches Institut Bern', 'PD Anatomie']","['1889-01-01', '1891-01-01', '1895-01-01']",[],[]
871,4.4.49,Liechti Paul,Liechti,Paul,1866-02-12,1927-02-24,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Kantonsschule Bern', 'Studium in Bern', 'Apotheker-Staatsexamen Bern', 'Dr. phil. Bern', 'Diplomierter Lebensmittelchemiker Bern', 'Schüler von Tschirch', 'Assistent Bern', 'PD Gerichtliche Chemie', 'Vorstand der schweizerischen agrikultur-chemischen Anstalt Bern-Liebefeld']","['1890-01-01', '1891-01-01', '1893-01-01', '1897-01-01']",['1924-01-01'],[]
872,4.4.50,Santi August,Santi,August,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Dr. med. Bern', 'Arzt in Bern', 'PD Dermatologie und Syphilidographie']","['1889-01-01', '1891-01-01', '1899-01-01']",[],[]
873,4.4.51,Lanz Otto,Lanz,Otto,1865-10-14,1935-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Genf', 'Basel', 'Leipzig', 'München', 'Dr. med. Bern Schüler von Theodor Kocher', 'PD Chirurgie', 'oP Amsterdam', 'oP Amsterdam und Direktor Universitätsklinik Amsterdam']","['1899-01-01', '1893-01-01', '1902-01-01']",[],[]
874,4.4.52,Deucher Paul Friedrich Niklaus,Deucher,Paul Friedrich Niklaus,1866-02-02,1955-01-01,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern Genf Tübingen Heidelberg Dr. med.', 'Arzt in Bern', 'PD Innere Medizin', 'Ruhestand']","['1896-01-01', '1936-01-01']",[],[]
875,4.4.53,Tschlenoff Boris ( Benzion ),Tschlenoff,Boris ( Benzion ),1863-05-15,1952-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'PD Hydrotherapie Balneotherapie und Heilgymnastik', 'von der Liste der PD gestrichen ( seit mehr als 10 Jahren keine Vorlesungen mehr )']","['1888-01-01', '1900-01-01', '1931-01-01']",[],[]
876,4.4.54,Gurwitsch Alexander,Gurwitsch,Alexander,1874-09-13,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Staatsexamen München', 'Dr. med. München', 'Assistent Bern', 'PD Anatomie']","['1897-01-01', '1898-01-01', '1902-01-01', '1906-01-01']",[],[]
877,4.4.55,Hegg Emil,Hegg,Emil,1864-04-10,1954-02-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Kantonsschule Pruntut', 'Gymnasium Bern', 'Studium in Bern Würzburg Paris Berlin', 'Staatsexamen Bern', 'Dr. med. Bern', 'PD Augenheilkunde', 'Arzt in Bern']","['1889-01-01', '1902-01-01', '1934-01-01']",[],[]
878,4.4.56,Schwenter Jakob,Schwenter,Jakob,1857-12-30,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Spezialarzt für Dermatologie in Bern', 'PD Haut-Geschlechts-und venerische Krankheiten', 'Änderung der Venia: Radiologie und Röntgenverfahren', 'Demission']","['1885-01-01', '1888-01-01', '1903-01-01', '1913-01-01', '1927-01-01']",[],['Gatte von PD Wilhelmine Schwenter-Trachsler ( 4. 4. 60 )']
879,4.4.57,Kocher Albert,Kocher,Albert,1872-07-04,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern Staatsexamen Bern', 'Dr. med. Bern', 'Assistenzarzt Bern', 'PD Chirurgie', 'Demission']","['1895-01-01', '1904-01-01', '1928-01-01']",[],['Sohn von oP Theodor Kocher ( 4. 1. 29 )']
880,4.4.58,Hedinger Ernst,Hedinger,Ernst,1873-11-03,1924-12-25,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasien Chur und Bern', 'Studium in Bern München Berlin', 'Staatsexamen Bern', 'Dr. med. Bern', 'Schüler von Langhans', 'Assistent Bern', 'PD Allgemeine Pathologie und pathologische Anatomie', 'aoP Basel', 'oP Zürich']","['1899-01-01', '1901-01-01', '1905-01-01', '1907-01-01', '1922-01-01']",[],[]
881,4.4.59,Heller Otto,Heller,Otto,1876-07-12,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Gotha', 'Studium in Jena Freiburg i. Br. Berlin München', 'Staatsexamen Freiburg i. Br.', 'Dr. med. Freiburg i. Br.', 'Titularprofessor Dresden', 'Assistent Bern', 'PD Hygiene und Bakteriologie', 'Direktor Seruminstitut in Dresden']","['1901-01-01', '1905-01-01', '1909-01-01']",[],[]
882,4.4.60,Schwenter-Trachsler Wilhelmine,Schwenter-Trachsler,Wilhelmine,1857-06-26,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern und Genf', 'Dr. phil. Bern', 'Dr. med. Bern', 'Spezialärztin für Hautkrankheiten und Venerologie in Bern', 'PD Dermatologie und Venerologie']","['1881-01-01', '1883-01-01', '1905-01-01', '1916-01-01']",[],['Gattin von PD Jakob Schwenter ( 4. 4. 56 )']
883,4.4.61,Carini Antonio,Carini,Antonio,,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Dr. med.', 'PD Bakteriologie']","['1906-01-01', '1920-01-01']",[],[]
884,4.4.62,Loeb Oswald,Loeb,Oswald,1800-12-31,1914-10-14,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Assistent Bern', 'PD Pharmakologie', 'PD Basel PD Göttingen']","['1906-01-01', '1909-01-01']",[],[]
885,4.4.63,Vannod Theodor,Vannod,Theodor,1870-05-06,1938-01-13,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Lausanne Bern Würzburg und Paris', 'Staatsexamen Lausanne', 'Dr. med. Bern', 'Praktischer Arzt in Bern', 'PD Anatomie Physiologie Hygiene', 'Lehrauftrag SLA Schulhygiene', 'Tod']","['1894-01-01', '1896-01-01', '1906-01-01', '1907-01-01', '1938-01-01']",[],[]
886,4.4.64,Walker Robert,Walker,Robert,1866-08-04,1916-02-13,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Solothurn', 'Studium in Genf und Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Sekundärarzt Waldau Bern', 'PD Psychiatrie', 'Tod']","['1891-01-01', '1906-01-01', '1916-01-01']",[],[]
887,4.4.65,Schürch Otto,Schürch,Otto,,1909-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Tod', 'Dr. phil.', 'PD Zahnheilkunde']","['1909-01-01', '1907-01-01']",[],[]
888,4.4.66,Tunmann Otto,Tunmann,Otto,1867-03-13,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium in Erlangen und Bern', 'pharmazeutisches Staatsexamen Erlangen', 'Dr. phil. Bern', 'Tätigkeit in Jena', 'PD Pharmakobotanik und Pharmakognosie', 'Ruf nach Wien', 'Professor in Wien']","['1896-01-01', '1900-01-01', '1908-01-01', '1919-01-01']",[],[]
